,h,alpha,w,d,J,dis
0,0.0,[0.0011 0.9978 0.0011],15.8472,0.0003,0.0003,15.8475
1,0.1,[0.2965 0.407  0.2965],5.8828,0.0855,0.6652,5.9683
2,0.2,[0.3025 0.395  0.3025],5.872,0.0872,1.2442,5.9592
3,0.3,[0.3038 0.3924 0.3038],5.8714,0.0876,1.8227,5.959
4,0.4,[0.3035 0.393  0.3035],5.8715,0.0875,2.4011,5.959
5,0.5,[0.306  0.3879 0.306 ],5.8703,0.0882,2.9793,5.9585
6,0.6,[0.3059 0.3882 0.3059],5.8704,0.0882,3.5575,5.9586
7,0.7,[0.3058 0.3884 0.3058],5.8704,0.0881,4.1357,5.9585
8,0.8,[0.3057 0.3885 0.3057],5.8705,0.0881,4.714,5.9586
9,0.9,[0.3062 0.3877 0.3062],5.8703,0.0882,5.2921,5.9585
10,1.0,[0.3056 0.3888 0.3056],5.8705,0.0881,5.8705,5.9586
