,h,alpha,w,d,J,dis
0,0.0,[5.60000e-05 1.03100e-03 9.97827e-01 1.03100e-03 5.60000e-05],15.848469,0.000307,0.000307,15.848776
1,0.1,[0.160934 0.21615  0.245831 0.21615  0.160934],3.400934,0.098218,0.42849,3.499152
2,0.2,[0.166761 0.219065 0.228348 0.219065 0.166761],3.366222,0.100483,0.753631,3.466705
3,0.3,[0.151518 0.229743 0.237478 0.229743 0.151518],3.408034,0.09939,1.091983,3.507424
4,0.4,[0.164065 0.225398 0.221075 0.225398 0.164065],3.364146,0.101455,1.406531,3.465601
5,0.5,[0.17731  0.215182 0.215016 0.215182 0.17731 ],3.368183,0.102173,1.735178,3.470356
6,0.6,[0.171284 0.222626 0.21218  0.222626 0.171284],3.366406,0.102582,2.060876,3.468988
7,0.7,[0.170454 0.220712 0.217668 0.220712 0.170454],3.361137,0.101865,2.383355,3.463002
8,0.8,[0.168985 0.228326 0.205378 0.228326 0.168985],3.376495,0.10349,2.721894,3.479985
9,0.9,[0.155441 0.224958 0.239202 0.224958 0.155441],3.393114,0.099122,3.063715,3.492236
10,1.0,[0.173605 0.216586 0.219618 0.216586 0.173605],3.361676,0.10159,3.361676,3.463266
